0.236843651,-0.792738985,-0.79279166,-2.648569918,-1.032947007,-2.648283243,-0.932649109,-2.643911817,-0.932523498,-2.655911625,-1.106452095,-2.656058593,-1.046982469,-2.645320206,-1.047154605
0.253612806,-0.436617583,-0.79279166,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
0.267691582,-0.493752325,-0.436726736,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
0.265014264,-0.735881596,-0.493852417,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
0.294438645,-0.167862412,-0.735943288,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
0.290612039,-0.711474522,-0.168014188,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
0.271243927,-0.381424312,-0.711540085,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
0.259176404,-0.536464705,-0.381542219,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
0.185530561,-0.52980823,-0.589801376,0.002784371,-0.049795439,0.002403316,0.377988414,0.003163642,-0.619489582,0.002841595,0.10294992,0.001342628,0.134541596,0.004326882,-0.192925765
0.193366614,-0.626327115,-0.529902604,0.002435999,-0.223974496,0.00745223,1.135574242,-0.002540011,-0.049160375,0.003551305,-0.007061066,0.004976141,1.040622535,0.002150858,-0.095298127
0.186614548,-0.649347424,-0.626406181,0.003342851,-0.574584222,0.009736935,-1.116286774,-0.002978519,-0.917916791,0.003372615,-0.027194122,0.004630582,0.912999856,0.002140613,-0.202872548
0.152932578,-0.077445296,-0.649422839,-0.001012192,0.200332415,0.003163642,-0.619489582,-0.005151455,1.39966199,0.002320947,-0.08819563,0.003850834,0.064952708,0.000821676,-0.035738646
0.161852619,-0.603306806,-0.077611411,-0.005040146,0.676586726,-0.002540011,-0.049160375,-0.007536574,2.108410875,0.00204117,-0.185892346,0.006275575,0.026936287,-0.002117567,0.335098871
0.167324796,-0.676528029,-0.603389524,-0.004476406,-0.314075519,-0.002978519,-0.917916791,-0.005980089,-3.390409741,0.002743035,-0.332634278,0.009194663,-0.13584739,-0.003595151,-0.000809672
0.138161617,-0.173409474,-0.676599134,-0.00459001,0.138374715,-0.005151455,1.39966199,-0.004024716,-0.090017306,0.001456553,-0.215258604,0.008051591,-0.276630486,-0.005040168,0.034927008
0.148466027,-0.573907376,-0.17356037,-0.005447438,0.040492399,-0.007536574,2.108410875,-0.003339617,0.431187801,-0.000304346,0.039804667,0.004326882,-0.192925765,-0.004892349,0.149653862
0.126420596,-0.324566923,-0.573994756,-0.006215829,-0.343567432,-0.005980089,-3.390409741,-0.006453907,-0.615388069,-0.001562144,0.215924443,0.002150858,-0.095298127,-0.005266677,-0.023130638
0.144182318,-0.415538746,-0.324693847,-0.00408917,-0.084599475,-0.004024716,-0.090017306,-0.004154127,-0.199984513,-0.001700273,0.216462074,0.002140613,-0.202872548,-0.005555283,-0.305027757
